"Not if it were my own brother!" cried d’Artagnan, as if carried away by his enthusiasm.	«Non, fût-ce mon frère!» s'écria d'Artagnan comme emporté par l'enthousiasme.
Out of respect for another's grief, he concealed his feelings.	Par respect pour le malheur, il cacha sa manière de sentir.
"Or hear anything unusual?"	-- Rien entendu d'extraordinaire?
"Farewell, then!" he cried, and fled like a madman.	-- Adieu donc!» s'écria-t-il, et il s'enfuit comme un fou.
If I listened to human pride, I should say no more to you of marriage with me; but I listen to my duty, and keep steadily in view my first aim--to do all things to the glory of God.	Si j'écoutais l'orgueil humain, je ne vous parlerais plus de mariage; mais je n'écoute que mon devoir, et je n'ai en vue que la gloire de Dieu.
They were at it again, and I was jumping about upon my bucket in my excitement.	Ils étaient aux prises pour la seconde fois et je trépignais d'agitation sur mon seau.
No one moved.	Personne ne bougea.
"What!" Conseil put in. "Squid, ordinary squid from the class Cephalopoda?"	-- Quoi ! fit Conseil, des calmars, de simples calmars, de la classe des céphalopodes ?
My visit was not long, as Caroline and Mrs. Hurst were going out.	Ma visite n’a pas été longue parce que Caroline et Mrs. Hurst allaient sortir.
"Oh, as to his name, I know nothing about it; but if I were ever to meet him, I should recognize him in an instant, I will answer for it, were he among a thousand persons."	-- Oh! quant à son nom, je n'en sais rien, mais si je le rencontre jamais, je le reconnaîtrai à l'instant même, je vous en réponds, fût-il entre mille personnes.»
You'd say your after-meal grace even if you didn't get any food for your before-meal blessing-- and you'd starve to death rather than complain!"	Vous seriez capable de dire vos grâces avant votre bénédicité, et de mourir de faim plutôt que de vous plaindre !
"Monsieur, you insult the majesty of justice."	-- Monsieur, vous insultez à la majesté de la justice.
He has spirit, and courage; he has fought in Spain.	Il a de l’esprit, de la bravoure ; il a fait la guerre d’Espagne.
"I fear that Watson and I must go to London."	– Je crains que Watson et moi soyons obligés de nous rendre à Londres.
The persevering engineer resolved to continue his ascent until he was stopped.	L'ingénieur continuerait sa marche ascensionnelle, tant qu'il ne serait pas arrêté.
You heard to-night of the dreadful things which come from it."	Vous avez entendu raconter, ce soir, à quelles suites terribles cela peut conduire.
"Fling it on the ground," said she.	« Jetez-la à terre », lui dit-elle.
At the same moment the grandfather clock struck half-past seven.	L’horloge à poids, juste à cet instant, sonna la demie de sept heures.
— Évidemment, répondis-je, elle présente un certain intéret au point de vue chimique, mais au point de vue pratique….	"It is interesting, chemically, no doubt," I answered, "but practically——"
"A torrent?" I exclaimed.	--Un torrent? m'écriai-je.
"Mr. Rochester, if ever I did a good deed in my life--if ever I thought a good thought--if ever I prayed a sincere and blameless prayer--if ever I wished a righteous wish,--I am rewarded now.	-- Monsieur Rochester, si jamais j'ai fait une bonne action dans ma vie, si jamais j'ai eu une bonne pensée, si jamais j'ai prononcé une prière sincère et pure, si jamais j'ai eu un désir noble, je suis récompensée maintenant.
Whether Porthos understood him or did not understand him, giving way to his anger, "Monsieur," said he, "you stand a chance of getting chastised if you rub Musketeers in this fashion." "Chastised, Monsieur!" said d’Artagnan, "the expression is strong."	Porthos comprit ou ne comprit pas, toujours est-il que, se laissant aller à sa colère: «Monsieur, dit-il, vous vous ferez étriller, je vous en préviens, si vous vous frottez ainsi aux mousquetaires. -- Étriller, monsieur! dit d'Artagnan, le mot est dur.
About the beginning of August, as I said, I had finished my bower, and began to enjoy myself.	Vers le 1er de ce mois, comme je l'ai déjà dit, j'avais achevé ma tonnelle et commencé à en jouir.
It was to set her up in a typewriting business."	Assez pour en faire une dactylo. »
D’Artagnan went out, but at the door his heart almost failed him, and he felt inclined to return.	D'Artagnan sortit; mais à la porte le coeur fut prêt à lui manquer, et peu s'en fallut qu'il ne rentrât.
A second well-polished stone removed a tasty ringdove leg from Conseil's hand, giving still greater relevance to his observation.	Une seconde pierre, soigneusement arrondie, qui enleva de la main de Conseil une savoureuse cuisse de ramier, donna encore plus de poids à son observation.
« Eh bien, soit ! » se dit Fabrice.	"All right, then," Fabrizio said to himself.
The yellow color of its hair was relieved by streaks and regular oblong spots of black, which contrasted with the white of its chest.	Son pelage fauve était relevé par plusieurs rangées de taches noires régulièrement ocellées et tranchait avec le poil blanc de son ventre.
A flush of colour mounted at the same instant on the face of both motherand son.	La même rougeur couvrit soudain les joues de la mère et du fils.
In one hour and five minutes I meet him at Waterloo Station.	Dans une heure cinq minutes je l’accueillerai à la gare de Waterloo.
"If you are determined," said Athos, "do so."	-- Si c'est un parti pris, dit Athos, faites.
As for the money, heaven grant there may be some left!	Quant à l'argent, Dieu veuille qu'il en reste !
"What, that bit of pipe!" exclaimed Pencroft in a tone of perfect incredulity.	-- Quoi, ce bout de tuyau? s'écria Pencroff d'un ton d'incrédulité complète.
Laurent slowly dressed himself, with a feeling of sullen irritation, exasperated at having been unable to sleep, exasperated at allowing himself to be caught by a fright which he now regarded as childish.	Laurent s'habilla lentement, avec une irritation sourde. Il était exaspéré de n'avoir pas dormi, exaspéré de s'être laissé prendre par une peur qu'il traitait maintenant d'enfantillage.
I risked the guillotine in a business like that. Fortunately it passed off all right.	Je risquais la guillotine, avec une pareille histoire… Enfin, tout s'est bien passé.
Les yeux du petit bonhomme étincelaient et il ne pouvait cacher sa satisfaction d’avoir ainsi damé le pion a son collegue. « Venez par ici », dit-il, en rentrant tout affairé dans la salle a manger.	The little man's eyes sparkled as he spoke, and he was evidently in a state of suppressed exultation at having scored a point against his colleague.
The Voreux was now emerging from the gloom.	Le Voreux, a présent, sortait du reve.
– D’abord, mon petit, lui dit la cantinière, qui devenait de plus en plus son amie, conviens que tu n’as pas vingt et un ans : c’est tout le bout du monde si tu en as dix-sept.	"First of all, my boy," said the cantinière, who was becoming more and more of a friend to him, "confess that you're not one-and-twenty: at the very most you might be seventeen."
"Only that you have disarranged our little deductions.	– Oh ! vous avez simplement bouleversé nos petites déductions !
And neither of them spoke any more; they tramped on at random through the roads which were becoming rivers of mud.	Et ni l'un ni l'autre ne parlaient plus, ils piétinaient au hasard, par les chemins qui se changeaient en fleuves de boue.
On était plongé dans une nuit profonde par la continuation du despotisme jaloux de Charles Quint et de Philippe II ; on renversa leurs statues, et tout à coup l’on se trouva inondé de lumière.	They had been plunged in the darkest night by the continuation of the jealous despotism of Charles V and Philip II; they overturned these monarchs' statues and immediately found themselves flooded with daylight.
When I was a young man, I used to listen to these tales from my elders, and take them in, and swallow them, and digest every word of them, and then come up for more; but the new generation do not seem to have the simple faith of the old times.	Quand j’étais jeune, j’écoutais parler mes aînés, avalais leurs histoires, les digérais jusqu’a la derniere syllabe, et j’allais jusqu’a en redemander. Mais la nouvelle génération ne semble guere avoir la foi ingénue de l’ancien temps.
Desruinaux, dying but triumphant, received in this division six sous' and three deniers.	Desrumaux, agonisant, mais vainqueur, avait eu, dans le partage, six sous et trois deniers.
An increasing irritation detached Madame Hennebeau, who had been brought up to respect money, and was disdainful of this husband who gained a small salary with such difficulty, and who enabled her to gratify none of the satisfactions of vanity which she had dreamed of at school.	Une irritation croissante détachait madame Hennebeau, élevée dans le respect de l'argent, dédaigneuse de ce mari qui gagnait durement des appointements médiocres, et dont elle ne tirait aucune des satisfactions vaniteuses, revées en pension.
I did not so much as go to look after my boat all this time, but began rather to think of making another; for I could not think of ever making any more attempts to bring the other boat round the island to me, lest I should meet with some of these creatures at sea; in which case, if I had happened to have fallen into their hands, I knew what would have been my lot.	Je ne visitai pas une seule fois ma pirogue pendant tout ce temps, mais je commençai de songer à m'en faire une autre; car je n'aurais pas voulu tenter de naviguer autour de l'île pour ramener cette embarcation dans mes parages, de peur d'être rencontré en mer par quelques Sauvages: je savais trop bien quel aurait été mon sort si j'eusse eu le malheur de tomber entre leurs mains.
A pause.	M. Rochester s'arrêta un instant.
On the right bank of the river grew magnificent specimens of the ulmaceae tribe, the precious elm, so valuable to builders, and which withstands well the action of water.	Sur la rive droite de la rivière s'étageaient de magnifiques échantillons des ulmacées, ces précieux francs-ormes, si recherchés des constructeurs, et qui ont la propriété de se conserver longtemps dans l'eau.
"Excellent, really excellent!" the harpooner exclaimed, interested in fish only from an edible viewpoint.	-- Excellent ! excellent ! s'écriait le harponneur, qui ne voulait considérer les poissons qu'au point de vue comestible.
Athos collected himself, and in proportion as he did so, d’Artagnan saw that he became pale. He was at that period of intoxication in which vulgar drinkers fall on the floor and go to sleep.	Athos se recueillit, et, à mesure qu'il se recueillait, d'Artagnan le voyait pâlir; il en était à cette période de l'ivresse où les buveurs vulgaires tombent et dorment.
"No, no," murmured Madame Hennebeau, "they must have been pillaging a pork butcher's, it seems to be a remnant of a pig."	—Non, non, murmura madame Hennebeau, ils auront pillé la charcuterie, on dirait un débris de porc.
Another weed, known by the name velp and boasting four-foot leaves, was crammed into the coral concretions and carpeted the ocean floor.	Une autre herbe, connue sous le nom de velp, à feuilles longues de quatre pieds, empâtées dans les concrétions coralligènes, tapissait les fonds.
Your interview with the lady has cleared the situation very much.	Votre entretien avec la dame résout pour moi quantité de problèmes.
"It was he, sire, it was he!"	-- C'est lui, Sire, c'est lui!
He told himself no.	Il se répondait négativement à lui-même.
At length he raised his head, fixed his eagle look upon that loyal, open, and intelligent countenance, read upon that face, furrowed with tears, all the sufferings its possessor had endured in the course of a month, and reflected for the third or fourth time how much there was in that youth of twenty-one years before him, and what resources his activity, his courage, and his shrewdness might offer to a good master.	Enfin il leva la tête, fixa son regard d'aigle sur cette physionomie loyale, ouverte, intelligente, lut sur ce visage sillonné de larmes toutes les souffrances qu'il avait endurées depuis un mois, et songea pour la troisième ou quatrième fois combien cet enfant de vingt et un ans avait d'avenir, et quelles ressources son activité, son courage et son esprit pouvaient offrir à un bon maître.
"Seven o'clock is on the point of striking.	Sept heures vont toquer.
'A fine day, your Majesty!' the Duchess began in a low, weak voice.	« Voilà un bien beau temps, Votre Majesté ! » fit la Duchesse, d’une voix basse et tremblante.
But notwithstanding this, with patience and labour I got through everything that my circumstances made necessary to me to do, as will appear by what follows.	Mais, nonobstant, avec de la persévérance et de la peine, j'achevai bien des choses, et, au fait, toutes les choses que ma position exigeait que je fisse, comme il apparaîtra par ce qui suit.
As for a long time he had had neither relatives nor friends in this part of France, he chose me for his sole legatee until the return of Meaulnes to whom I was to account for everything, if he ever came back . . . And so I lived henceforth at the Sand Pit.	Comme il n’avait plus depuis longtemps ni parents ni amis dans cette région de la France, il m’institua par testament son légataire universel jusqu’au retour de Meaulnes, à qui je devais rendre compte de tout, s’il revenait jamais… Et c’est aux Sablonnières désormais que j’habitais.
Do you play and sing, Miss Bennet?"	Jouez-vous du piano et chantez-vous, miss Bennet ?
"That proves you have a wicked heart; and you must pray to God to change it: to give you a new and clean one: to take away your heart of stone and give you a heart of flesh."	-- C'est une preuve que vous avez un mauvais coeur. Il faut demander à Dieu de le changer, de vous en accorder un autre plus pur, de vous retirer ce coeur de pierre pour vous donner un coeur de chair.»
Vingt pas plus loin, Clélia trouva assis sur la première des six marches en bois qui conduisaient à la chambre de Fabrice un autre guichetier fort âgé et fort rouge qui lui dit résolument :	Twenty paces farther, Clelia found sitting upon the first of the six wooden steps which led to Fabrizio's cell, another turnkey, elderly and very cross, who said to her firmly:
Gringoire was devoutly examining its exterior sculptures.	Gringoire en examinait dévotement les sculptures extérieures.
On top, the suit ended in a collar of threaded copper onto which the metal helmet was screwed.	Le haut de notre vêtement était terminé par un collet de cuivre taraudé, sur lequel se vissait ce casque de métal.
Captain Nemo stopped on these last words, perhaps sorry that he had said too much.	Le capitaine Nemo s'arrêta sur ces dernières paroles, regrettant peut-être d'avoir trop parlé.
"I dislike it very much," he replied; "but it must be done."	– Cela m’ennuie énormément, mais il faut que cela soit fait.
"Perhaps preparing for his marriage with Miss de Bourgh," said Elizabeth.	– Peut-etre les préparatifs de son mariage avec miss de Bourgh, dit Elizabeth.
"Where?"	--Et pour quel endroit?
She reposed in an armchair, like a parcel, a thing, while they remained alone, one at each end of the table, embarrassed and anxious.	Elle gisait dans un fauteuil, comme un paquet, comme une chose, et ils restaient seuls, aux deux bouts de la table, embarrassés et inquiets.
"Miss Ingram is mine, of course," said he: afterwards he named the two Misses Eshton, and Mrs. Dent.	«Mlle Ingram est certainement pour moi,» dit-il, après avoir nommé les deux demoiselles Eshton et Mme Dent.
Everything nourishes what is strong already.	Tout fortifie ce qui est déja fort.
"Indeed, begging your pardon, sir, I shall not. I shall just go on with it as usual.	-- Je vous demande pardon, monsieur; je continuerai comme autrefois.
A troop of Echoes whose sweet duty	Une troupe d'Échos dont l'agréable fonction
Marguerite proposed to me to take the boat and go as far as the island of Croissy.	Marguerite me proposa d'aller faire une promenade en bateau, et de visiter l'ile de Croissy.
I must not forget that these coarsely-clad little peasants are of flesh and blood as good as the scions of gentlest genealogy; and that the germs of native excellence, refinement, intelligence, kind feeling, are as likely to exist in their hearts as in those of the best-born.	Je ne dois pas oublier que ces petites paysannes, grossièrement vêtues, sont de chair et de sang aussi bien que les descendants des familles les plus nobles, et que les armes de la perfection, de la pureté, de l'intelligence, des bons sentiments, existent dans leurs coeurs comme dans le coeur des autres.
At the same moment, a strange sensation which comes as a warning note of danger, made the married couple instinctively turn their heads.	A ce moment, cette sensation étrange qui prévient de l'approche d'un danger fit tourner la tête aux époux, d'un mouvement instinctif.
He had, in fact, arrived, and another voice cried from the bottom of the cutting:	Mais, comme il arrivait en effet, une autre voix cria du fond de la taille:
"No, no! Down there, in our home!"	-- Oh! non, là-bas, chez nous.
Chapter 13	CHAPITRE XIII
"Master!" I shouted; "you madman! no, he is not the master of our life; we must fly, we must drag him. Do you hear me? Do you understand?"	--Le maître, m'écriai-je! insensé! non, il n'est pas le maître de ta vie! il faut fuir! il faut l'entraîner! m'entends-tu! me comprends-tu?»
Shortly afterwards, Mathilde entered the room.	Bientôt après Mathilde y entra.
And yet nobody prolonged his underwater work beyond the time allotted him.	Et cependant, personne ne prolongeait au-delà du temps voulu son travail sous les eaux.
Doubt not for a moment that my husband in dealing with you will conform to whatever _public opinion_ may prescribe.	Ne doute pas un instant que mon mari ne se conforme à ton égard à ce que lui prescrira l’opinion publique.
'Be careful, I order you.'	– Soyez prudent, je vous l’ordonne.
He deliberately retraced his steps towards the front door, when again he heard a sound of steps and children's voices at the end of the corridor.	Il va s’en retourner délibérément vers la sortie, lorsque de nouveau il entend dans le fond du corridor un bruit de pas et des voix d’enfants.
"You think he can't win it?"	-- Vous croyez qu'il ne peut vaincre?
From all which I told her, that I had, on the most serious reflections I was able to make in the case, come to this resolution, which I hoped she would like, as a medium between both, viz. that she should use her endeavours with her son to give me leave to go to England, as I had desired, and to furnish me with a sufficient sum of money, either in goods along with me, or in bills for my support there, all along suggesting that he might one time or other think it proper to come over to me.	Et enfin je lui dis qu'après les plus sérieuses réflexions possibles, j'en était venue à cette résolution que j'espérais qui lui plairait et n'était point extrême, qu'elle usât de son influence pour son fils pour m'obtenir le congé de partir pour l'Angleterre, comme je l'avais demandé, et de me munir d'une suffisante somme d'argent, soit en marchandises que j'emportais, soit en billets de change, tout en lui suggérant qu'il pourrait trouver bon en temps voulu de venir me rejoindre.
She had not slept for two nights.	Ce repos ne fut pas de longue durée.
L’homme de confiance intime qu’il trouva dans Lugano augmenta sa fureur en lui donnant de nouveaux détails.	The confidential agent whom he found at Lugano increased his fury by furnishing him with fresh details.
One day or another he would go and live with some family at the settlement.	Un jour ou l'autre, il finirait par chercher au coron une famille.
"Come," I said to Armand, taking him by the arm.	--Venez, dis-je alors à Armand en lui prenant le bras.
About thirty horses lay about, three of them together within ten yards of me, the middle one right on its back with its four legs in the air, and it was one of these that I had seen flapping through the smoke.	Environ trente chevaux gisaient par terre, trois ensemble à moins de dix yards de moi, celui du milieu était complètement sur le dos, les quatre pattes en l'air, et c'était l'une de ces pattes que j'avais vue s'agiter à travers la fumée.
Maheude fell back into her place near the dying fire.	La Maheude était retombée a sa place, pres du feu mourant.
"No, no, my dear Watson, not all--by no means all.	– Si, si, mon cher Watson ! Il y a autre chose.
She could not yet recover from the surprise of what had happened; it was impossible to think of anything else; and, totally indisposed for employment, she resolved, soon after breakfast, to indulge herself in air and exercise.	Elle ne pouvait revenir de la surprise qu’elle avait éprouvée la veille ; il lui était impossible de penser a autre chose. Incapable de se livrer a une occupation suivie, elle résolut de prendre un peu d’exercice apres le déjeuner.
And, if his portent proves correct, we come back feeling still more angry against him, and with a vague notion that, somehow or other, he has had something to do with it.	Que son oracle se vérifie, et nous voila devenir encore plus fâchés contre lui, obscurément pénétrés du sentiment qu’il y est pour quelque chose.
Oh! no."	Oh ! non !
To Calais; good again!	A Calais, soit.
The heroine of a modern novel is always "divinely tall," and she is ever "drawing herself up to her full height."	Ces personnes sont toujours « divinement grandes » et se redressent immanquablement « de toute leur taille ».
The innkeeper shut the door, while the band dispersed; and the two men looked at each other in silence.	Le cabaretier referma la porte, pendant que la bande se dispersait; et les deux hommes se regarderent en silence.
Honestly, do you care for me a little?"	Franchement, m'aimez-vous un peu?
To make him at home the lace antimacassars of the armchairs had been removed, the rugs folded up and all the knick-knacks put away.	On avait enlevé, pour qu’il s’y installât, les têtières en dentelle des fauteuils, relevé les tapis et mis de côté les objets fragiles.
"But, if I insist--"	-- Mais si, je tiens...
"Oh, no, no!" cried Milady; "no, sir, do not call him, I conjure you. I am well, I want nothing; do not call him."	-- Oh! non, non! s'écria Milady, non, monsieur, ne l'appelez pas, je vous en conjure, je suis bien, je n'ai besoin de rien, ne l'appelez pas.»
The sun was rising from the sea's horizon, and touched with golden spangles the prismatic rugosities of the huge precipice.	Un vif soleil se levait sur l'horizon de la mer, et piquait de paillettes d'or les rugosités prismatiques de l'énorme muraille.
Stand forward, Ambrose, and tell your story as frankly and as fully as you have told it to me."	Avancez, Ambroise, et faites votre récit avec autant de franchise et de détails que vous me l'avez fait à moi-même.
He was deeply displeased by what had occurred that day; cordiality would not warm, nor tears move him.	Ce qui était arrivé dans la journée lui avait profondément déplu. La cordialité ne pouvait pas l'échauffer, ni les larmes l'émouvoir.
– Non, cher ami, je ne vous dirai pas que je vous ai aimé avec cette passion et ces transports que l’on n’éprouve plus, ce me semble, après trente ans, et je suis déjà bien loin de cet âge.	"No, dear friend, I am not going to tell you that I have loved you with that passion and those transports which one no longer feels, it seems to me, after thirty, and I am already a long way past that age.
"Ah! thanks," said Charles; "you are good."	-- Ah! merci, dit Charles, vous êtes bon!
The reader can take his choice; we, for our part, are much inclined to believe that he was in a bad humor, simply because he was in a bad humor.	Le lecteur peut choisir ; quant à nous, nous inclinerions à croire tout simplement qu’il était de mauvaise humeur, parce qu’il était de mauvaise humeur.
On the following Monday, Mrs. Bennet had the pleasure of receiving her brother and his wife, who came as usual to spend the Christmas at Longbourn.	Le lundi suivant, Mrs. Bennet eut le plaisir de recevoir son frere et sa belle-sour qui venaient comme a l’ordinaire passer la Noël a Longbourn.
"Allow me to offer it to you.	--Permettez-moi de vous l'offrir.
How I regret not having seen once more Pere la Chaise and the circus in the Champs Elysees!"	Je le regrette ! J'aurais aimé à revoir le Père-Lachaise et le Cirque des Champs-Élysées !
"I do not know when I have been more shocked," said she.	– Jamais je n’ai été aussi bouleversée, dit-elle.
"Cry," said the chemist; "let nature take her course; that will solace you."	-- Pleurez, reprit le pharmacien, donnez cours à la nature, cela vous soulagera!
Cyrus Harding and his companions, on leaving Dakkar Grotto, had taken the road to the corral.	Cyrus Smith et ses compagnons, en quittant la crypte Dakkar, avaient repris la route du corral.
That's atrocious!"	C'est odieux.
At these words I quickly raised my head; but my uncle went on soliloquising.	A ces mots, je relevai vivement la tête. Mon oncle reprit son soliloque:
Le prince, fort timide, mais toujours prenant fort au sérieux les choses d’amour, rencontra dans l’un des corridors du château la duchesse qui entraînait le marquis Crescenzi, tout troublé, chez la princesse.	The Prince, extremely shy, but always intensely serious in matters of love, met, in one of the corridors of the Castle, the Duchessa who was carrying off the Marchese Crescenzi, in great distress, to the Princess.
"Intact, my dear friend; besides the harness of your Bucephalus and mine."	-- Intact! cher ami; plus les harnais de votre Bucéphale et du mien.
Then Laurent rose and grasped Camille round the body.	Alors Laurent se leva et prit Camille à bras-le-corps.
How marvellous!	Quel merveilleux voyage!
This is said in good faith.	Ceci est dit de bonne foi.
When the folly as well as the uselessness of the adventure was pointed out to him, he contented himself with replying, "If the thing is feasible, the first to do it ought to be an Englishman."	Et quand, en même temps que la sottise du projet, on lui en démontrait l'inutilité, il se contentait de répondre : « Si la chose est faisable, il est bon que ce soit un Anglais qui le premier l'ait faite ! »
"A glance at our friend here reveals the rounded head of the Celt, which carries inside it the Celtic enthusiasm and power of attachment.	Regardez notre ami : un simple coup d’œil vous révèle la tête arrondie du Celte, à l’intérieur de laquelle bouillonnent deux qualités du Celte : l’enthousiasme et la faculté de s’attacher.
And the very style of these works, in theirshining frames, crisp, sharp, and highly finished, with the elegance ofa fashion plate, suggested a sense of cleanliness and propriety whichwas confirmed by the rest of the fittings.	Ilse dégageait surtout du dessin net, bien fini, soigné distingué à lafaçon, d'une gravure de mode, ainsi que du cadre bien luisant, unesensation de propreté et de rectitude qu'accentuait encore le reste del'ameublement.
Then first I knew what a devil's thrill runs through a man when he is given a bit of fighting to do.	Alors j'éprouvai pour la première fois ce frisson diabolique qui vous court dans le corps, quand on vous donne votre rôle à remplir dans le combat.
"Phoebus! aid me, my Phoebus!"	« Phœbus ! à moi, mon Phœbus ! »
Everywhere sunshine. I wished I could live in it and on it.	partout le soleil brillait: j'aurais voulu pouvoir vivre là.
He was in front of the fire, both his feet on the mantelpiece, smoking a pipe.	Il était devant le feu, les deux pieds sur le chambranle, en train de fumer une pipe.
"How dare I, Mrs. Reed? How dare I?	-- Comment je l'oserai, madame Reed?
Au moment où Fabrice passait auprès de la portière ouverte, il entendit Marietta qui lui disait à demi-voix :	As Fabrizio passed by the open door, he heard Marietta whisper to him:
However, the siege continued; and if the prisoners were anxious to escape and join Grant's army, certain of the besieged were no less anxious to join the Southern forces. Among them was one Jonathan Forster, a determined Southerner.	Cependant, le siège continuait, et si les prisonniers avaient hâte de s'échapper pour rejoindre l'armée de Grant, certains assiégés avaient non moins hâte de s'enfuir, afin de rejoindre l'armée séparatiste, et, parmi eux, un certain Jonathan Forster, sudiste enragé.
The corral, with its clumps of trees, the little stream which watered it, its wide carpet of grass, was suddenly illuminated.	Le corral s'éclaira tout entier avec ses bouquets d'arbres, le petit cours d'eau qui l'arrosait et son large tapis d'herbes.
"Yes, I know that he meant to afford you that agreeable surprise."	-- Oui, je sais qu'il voulait vous faire cette surprise.
She is one of the most innocent and most perfect beauties whom the brush has ever produced."	C’est une des beautés les plus innocentes et les plus parfaites qu’ait produites le pinceau.
"The tale is fair and good," said Gervaise in a low tone; "but where do gypsies come into all that?"	– Le conte est bel et bon, dit à mi-voix la Gervaise, mais où est l’Égypte dans tout cela ?
At this I appeared very angry, expressed my abhorrence of it, made as if I would vomit at the thoughts of it, and beckoned with my hand to him to come away, which he did immediately, with great submission.	Là-dessus je parus fort en colère; je lui exprimai mon horreur en faisant comme si j'allais vomir à cette pensée, et je lui enjoignis de la main de passer outre, ce qu'il fit sur-le-champ avec une grande soumission.
I've driven her to this. "I shall become a bad girl for certain," she said.	« Je deviendrai certainement une fille perdue », disait-elle.
Ayrton, surprised by the pirates, had been murdered, and, perhaps, the wretches would profit by the night to make a descent on the island!	Ayrton, surpris par les pirates, avait été massacré par eux, et peut-être ces misérables allaient-ils profiter de la nuit pour opérer une descente sur l'île!
"Oh, yes, my friend; there was still that diamond left which sparkles on your finger, and which I had observed yesterday."	-- Si fait, si fait, mon ami; il nous restait ce diamant qui brille à votre doigt, et que j'avais remarqué hier.
The Canadian, Conseil, and I could only obey.	Le Canadien, Conseil et moi, nous ne pouvions qu'obéir.
To such positive statements I could make no reply. I therefore took refuge in other dark passages of the document.	À ces affirmations positives je n'avais absolument rien à répondre; je me rejetai donc sur les autres obscurités que renfermait le document.
Ah, Mendoza, you look fit enough to throw your hat over the ropes this instant.	Mendoza, vous avez l'air aujourd'hui en assez bonne forme pour jeter votre chapeau par- dessus les cordes.
Speak, therefore."	Parlez donc.
I exclaimed. "We must rescue him at all cost!"	Il faut le sauver à tout prix ! »
Both were men of courage and honor; and as M. de la Tremouille--a Protestant, and seeing the king seldom--was of no party, he did not, in general, carry any bias into his social relations.	Tous deux étaient gens de coeur et d'honneur; et comme M. de La Trémouille, protestant, et voyant rarement le roi, n'était d'aucun parti, il n'apportait en général dans ses relations sociales aucune prévention.
"I hope so," replied the engineer, "provided you and Pencroft, my boy, show yourselves quick and clever hunters."	-- Je l'espère, répondit l'ingénieur, mais à la condition que maître Pencroff et toi, mon enfant, vous vous montriez chasseurs intelligents et adroits.
You are a young man out for a holiday, and you want to enjoy yourself.	Vous etes un jeune homme en vacances, et vous devez en profiter.
Our departure from Marlow I regard as one of our greatest successes.	Notre départ de Marlow fut, a mon sens, l’un de nos plus grands triomphes.
In those days, everything that was done had greatness in it.'	Alors, il y avait de la grandeur dans tout ce qu’on faisait.
"Your husband has none. Is that what you would say?"	-- Ton mari n'en a pas, c'est cela que tu veux dire.
'Ah! So you are afraid of those young rascals at the Seminary!	– Ah! ces petits méchants du séminaire vous font peur!
His father tried to beat him once, the child was ill for a whole week, and yet it was quite a gentle blow.'	Une fois son père a voulu le battre, l’enfant a été malade pendant toute une semaine, et cependant c’était un bien petit coup.
'I have proved myself not unworthy of Julien,' she said to herself, with a sweet and secret relish.	Je n’ai pas été indigne de Julien, se dit-elle, avec une douce et intime volupté.
Deep within him he dreaded finding himself suddenly alone at the manor and his trick discovered.	Il appréhendait, au fond du cœur, de se trouver soudain seul dans le Domaine, et que sa supercherie fût découverte.
Then a fourth domestic said to the fourth stranger, "Your Majesty may set off when you please"; saying which, he went away like the rest.	Un quatrième domestique dit au quatrième maître: Votre majesté partira quand elle voudra, et sortit comme les autres.
"In short, my dear miss, I have a great deal of knowledge and experience in the world, therefore take my advice: divert yourself, and prevail upon each passenger to tell his story, and if there is one of them all that has not cursed his existence many times, and said to himself over and over again that he was the most wretched of mortals, I give you leave to throw me headfirst into the sea."	Enfin, mademoiselle, j'ai de l'expérience, je connais le monde; donnez-vous un plaisir, engagez chaque passager à vous conter son histoire, et s'il s'en trouve un seul qui n'ait souvent maudit sa vie, qui ne se soit souvent dit à lui-même qu'il était le plus malheureux des hommes, jetez-moi dans la mer la tête la première.
Meanwhile, ignoring all these fine specimens of Papuan flora, the Canadian passed up the decorative in favor of the functional.	Mais, sans remarquer tous ces beaux échantillons de la flore papouasienne, le Canadien abandonna l'agréable pour l'utile.
The daylight coming through the plain glass windows falls obliquely upon the pews ranged along the walls, which are adorned here and there with a straw mat bearing beneath it the words in large letters, "Mr. So-and-so's pew."	Le grand jour, arrivant par les vitraux tout unis, éclaire obliquement les bancs rangés en travers de la muraille, que tapisse çà et là quelque paillasson cloué, ayant au-dessous de lui ces mots en grosses lettres: «Banc de M. un tel.»
At the same time as the coal, the store of wood was renewed at Granite House, and they profited by the current of the Mercy having again become free, to float down several rafts.	En même temps que le charbon, la provision de bois fut également renouvelée à Granite-House, et on profita du courant de la Mercy, qui était redevenu libre, pour en amener plusieurs trains.
After a final interval of tension and anxiety, during which the excess of his emotion carried Julien almost out of his senses, the strokes of ten sounded from the clock overhead.	Après un dernier moment d’attente et d’anxiété, pendant lequel l’excès de l’émotion mettait Julien comme hors de lui, dix heures sonnèrent à l’horloge qui était au-dessus de sa tête.
The cries and shots were constant.	Cris et coups de feu ne discontinuaient pas.
I wrote all that to Armand, but, absorbed in you, he made no reply.	J'avais écrit tout cela à Armand, mais tout occupé de vous, il ne m'a pas répondu.
